"","Fecha y Hora","Fecha","Hora","Integrante","Mensaje","Tipo de Mensaje","Cantidad Emojis"
"29","1/2/22 12:40:51","1/02/2022",12:40:51,"Delfi","hoy?","texto",0
"30","1/2/22 12:40:57","1/02/2022",12:40:57,"Delfi","RXITOOOSSSSS","texto",0
"31","1/2/22 12:40:59","1/02/2022",12:40:59,"Delfi","DIGO","texto",0
"32","1/2/22 12:41:04","1/02/2022",12:41:04,"Delfi","EXITOSSS AJAJ","texto",0
"33","1/2/22 12:44:32","1/02/2022",12:44:32,"Pali","el sabadoooo","texto",0
"34","1/2/22 12:44:38","1/02/2022",12:44:38,"Pali","adjunto= 00002536-STICKER-2022-02-01-12-44-38.webp","sticker",0
"35","1/2/22 14:50:43","1/02/2022",14:50:43,"Pau","adjunto= 00002537-PHOTO-2022-02-01-14-50-42.jpg","photo",0
"36","1/2/22 14:51:14","1/02/2022",14:51:14,"Taty","JAJAJJA EL NOMBRE","texto",0
"37","1/2/22 15:36:42","1/02/2022",15:36:42,"Sofi","adjunto= 00002539-PHOTO-2022-02-01-15-36-42.jpg","photo",0
"38","1/2/22 15:39:44","1/02/2022",15:39:44,"Sofi","tenemos el gta ya","texto",0
"39","1/2/22 16:07:45","1/02/2022",16:07:45,"Delfi","osss","texto",0
"40","1/2/22 16:07:48","1/02/2022",16:07:48,"Delfi","lo pagaste?","texto",0
"41","1/2/22 16:10:11","1/02/2022",16:10:11,"Delfi","adjunto= 00002543-AUDIO-2022-02-01-16-10-11.opus","audio",0
"42","1/2/22 16:10:55","1/02/2022",16:10:55,"Michu","JAJAJAJAJAJAJAJAJJA","texto",0
"43","1/2/22 16:10:57","1/02/2022",16:10:57,"Michu","Muy random","texto",0
"44","1/2/22 16:10:57","1/02/2022",16:10:57,"Michu","Same","texto",0
"45","1/2/22 16:11:09","1/02/2022",16:11:09,"Delfi","adjunto= 00002547-AUDIO-2022-02-01-16-11-09.opus","audio",0
"46","1/2/22 16:36:54","1/02/2022",16:36:54,"Sofi","siii","texto",0
"47","1/2/22 16:36:54","1/02/2022",16:36:54,"Sofi","700 pesis","texto",0
"48","1/2/22 16:36:54","1/02/2022",16:36:54,"Sofi","pesos","texto",0
"49","1/2/22 16:36:55","1/02/2022",16:36:55,"Sofi","JAJAJAJA","texto",0
"50","1/2/22 16:36:55","1/02/2022",16:36:55,"Sofi","SI RE INCOMODO","texto",0
"51","1/2/22 16:36:58","1/02/2022",16:36:58,"Sofi","como que no te tienta nada","texto",0
"52","1/2/22 16:37:04","1/02/2022",16:37:04,"Sofi","y estas ahi","texto",0
"53","1/2/22 16:37:06","1/02/2022",16:37:06,"Sofi","😜🤡","texto",2
"54","1/2/22 16:37:10","1/02/2022",16:37:10,"Sofi","🏐💭","texto",2
"55","1/2/22 16:43:47","1/02/2022",16:43:47,"Sofi","viene taty post gym a casa hoy","texto",0
"56","1/2/22 16:43:51","1/02/2022",16:43:51,"Sofi","quien quiereeeee venirrrr","texto",0
"57","1/2/22 16:44:06","1/02/2022",16:44:06,"Sofi","no me puedo acostar tan tarde ugual xq mañana TRABAJO 🚁🤡","texto",2
"58","1/2/22 17:01:38","1/02/2022",17:01:38,"Delfi","YOO","texto",0
"59","1/2/22 17:01:47","1/02/2022",17:01:47,"Delfi","same igual","texto",0
"60","1/2/22 17:06:22","1/02/2022",17:06:22,"Sofi","adjunto= 00002562-PHOTO-2022-02-01-17-06-22.jpg","photo",0
"61","1/2/22 17:07:40","1/02/2022",17:07:40,"Delfi","a q hora?","texto",0
"62","1/2/22 17:11:03","1/02/2022",17:11:03,"Sofi","yo tengo q ir a lo de mi abuela a hacer algo","texto",0
"63","1/2/22 17:11:04","1/02/2022",17:11:04,"Sofi","ahora","texto",0
"64","1/2/22 17:11:07","1/02/2022",17:11:07,"Sofi","y despues vot a casa","texto",0
"65","1/2/22 17:11:09","1/02/2022",17:11:09,"Sofi","voy*","texto",0
"66","1/2/22 17:40:27","1/02/2022",17:40:27,"Delfi","me avisas cuando estes volviendo porfi?","texto",0
"67","1/2/22 17:56:16","1/02/2022",17:56:16,"Sofi","siii","texto",0
"68","1/2/22 18:00:00","1/02/2022",18:00:00,"Delfi","adjunto= 00002570-STICKER-2022-02-01-18-00-00.webp","sticker",0
"69","1/2/22 18:20:44","1/02/2022",18:20:44,"Sofi","me quiero fumar 1 pucho en lo de mi abuela","texto",0
"70","1/2/22 18:20:45","1/02/2022",18:20:45,"Sofi","q hago","texto",0
"71","1/2/22 18:21:01","1/02/2022",18:21:01,"Delfi","dont","texto",0
"72","1/2/22 18:25:26","1/02/2022",18:25:26,"Sofi","jajajajaa mala ondaaaaaa","texto",0
"73","1/2/22 18:25:28","1/02/2022",18:25:28,"Sofi","daaaaaa","texto",0
"74","1/2/22 18:25:35","1/02/2022",18:25:35,"Sofi","dicen que cuando lleguen ya esta el gta?","texto",0
"75","1/2/22 18:25:38","1/02/2022",18:25:38,"Sofi","😳","texto",1
"76","1/2/22 18:26:00","1/02/2022",18:26:00,"Pau","Yo no puedo ir porque toy aislada","texto",0
"77","1/2/22 18:26:06","1/02/2022",18:26:06,"Pau","Porque marcos tiene covid","texto",0
"78","1/2/22 18:26:56","1/02/2022",18:26:56,"Pau","Y a lo del sabado @5491159071986  rindo el lunes asi que no deberia salir","texto",0
"79","1/2/22 18:27:06","1/02/2022",18:27:06,"Pau","Igual si doy positivo tampoco podria jajaajajap","texto",0
"80","1/2/22 18:36:24","1/02/2022",18:36:24,"Sofi","adjunto= 00002582-PHOTO-2022-02-01-18-36-24.jpg","photo",0
"81","1/2/22 18:36:26","1/02/2022",18:36:26,"Sofi","nooo","texto",0
"82","1/2/22 18:47:15","1/02/2022",18:47:15,"Taty","🥵","texto",1
"83","1/2/22 18:56:03","1/02/2022",18:56:03,"Pau","JAJAJAJ cara de muerte","texto",0
"84","1/2/22 19:36:03","1/02/2022",19:36:03,"Pali","nooo","texto",0
"85","1/2/22 19:38:14","1/02/2022",19:38:14,"Pau","Quien es fonziponzi","texto",0
"86","1/2/22 19:38:21","1/02/2022",19:38:21,"Pau","Siento que sos vos","texto",0
"87","1/2/22 19:39:23","1/02/2022",19:39:23,"Pali","queeee?","texto",0
"88","1/2/22 19:39:31","1/02/2022",19:39:31,"Pau","JAJAJAJA","texto",0
"89","1/2/22 19:39:34","1/02/2022",19:39:34,"Pali","en ig? tipo cuenta falsa?","texto",0
"90","1/2/22 19:39:40","1/02/2022",19:39:40,"Pau","En HAYDAY","texto",0
"91","1/2/22 19:39:44","1/02/2022",19:39:44,"Pali","no tengo cuenta falsa u-U","texto",0
"92","1/2/22 19:39:48","1/02/2022",19:39:48,"Pali","aaaaa JAJAJAJA","texto",0
"93","1/2/22 19:39:50","1/02/2022",19:39:50,"Pau","adjunto= 00002595-STICKER-2022-02-01-19-39-49.webp","sticker",0
"94","1/2/22 19:39:50","1/02/2022",19:39:50,"Pali","NO TENGO ESO","texto",0
"95","1/2/22 19:40:00","1/02/2022",19:40:00,"Pali","ósea tenía antes de pendeja en el ipad2 LOL","texto",0
"96","1/2/22 19:40:05","1/02/2022",19:40:05,"Pali","LO EXTRAÑO","texto",0
"97","1/2/22 19:40:09","1/02/2022",19:40:09,"Pali","😔😔😔😔😔","texto",5
"98","1/2/22 19:40:12","1/02/2022",19:40:12,"Pau","adjunto= 00002600-STICKER-2022-02-01-19-40-11.webp","sticker",0
"99","1/2/22 19:40:23","1/02/2022",19:40:23,"Pali","adjunto= 00002601-STICKER-2022-02-01-19-40-23.webp","sticker",0
"100","1/2/22 19:40:36","1/02/2022",19:40:36,"Pau","EXACTO","texto",0
"101","1/2/22 19:41:33","1/02/2022",19:41:33,"Delfi","estábamos re pegadas en hay dau en ese entonces","texto",0
"102","1/2/22 19:41:55","1/02/2022",19:41:55,"Pali","SI","texto",0
"103","1/2/22 19:42:32","1/02/2022",19:42:32,"Pali","me acuerdo que había una mina de diamante una banda de cosas","texto",0
"104","1/2/22 19:42:32","1/02/2022",19:42:32,"Pali","se iba a la mierda la granja","texto",0
"105","1/2/22 20:23:52","1/02/2022",20:23:52,"Sofi","bebas","texto",0
"106","1/2/22 20:23:59","1/02/2022",20:23:59,"Sofi","en 20 estoy en casa","texto",0
"107","1/2/22 20:27:10","1/02/2022",20:27:10,"Sofi","vayan viniendo si quieeren","texto",0
"108","1/2/22 20:27:14","1/02/2022",20:27:14,"Sofi","@5491159071986 comes aca","texto",0
"109","1/2/22 20:27:16","1/02/2022",20:27:16,"Sofi","?","texto",0
"110","1/2/22 21:21:26","1/02/2022",21:21:26,"Sofi","xhe vienen al final?","texto",0
"111","1/2/22 21:24:34","1/02/2022",21:24:34,"Taty","Siii","texto",0
"112","1/2/22 21:24:42","1/02/2022",21:24:42,"Taty","Voy tipo 10","texto",0
"113","1/2/22 21:24:46","1/02/2022",21:24:46,"Taty","Me estoy entrando a bañar","texto",0
"114","1/2/22 21:26:01","1/02/2022",21:26:01,"Sol","Yo no puedo rindo mañanaa","texto",0
"115","1/2/22 21:32:28","1/02/2022",21:32:28,"Sofi","suerte!!","texto",0
"116","1/2/22 21:39:16","1/02/2022",21:39:16,"Taty","Exitossssss la vas a romper","texto",0
"117","1/2/22 21:40:52","1/02/2022",21:40:52,"Sol","Graciassss🥰","texto",1
"118","2/2/22 0:15:25","2/02/2022",00:15:25,"Michu","ALFUNA SE ACUERDA","texto",0
"119","2/2/22 0:15:27","2/02/2022",00:15:27,"Michu","De la convivencia","texto",0
"120","2/2/22 0:15:34","2/02/2022",00:15:34,"Michu","De maria eisner cortandose las genas en el baño","texto",0
"121","2/2/22 0:15:35","2/02/2022",00:15:35,"Michu","JAJAJAJ","texto",0
"122","2/2/22 0:15:36","2/02/2022",00:15:36,"Michu","o algo asi","texto",0
"123","2/2/22 0:15:42","2/02/2022",00:15:42,"Pau","adjunto= 00002625-STICKER-2022-02-02-00-15-41.webp","sticker",0
"124","2/2/22 0:15:47","2/02/2022",00:15:47,"Pau","Me suena","texto",0
"125","2/2/22 0:15:51","2/02/2022",00:15:51,"Pau","Pero","texto",0
"126","2/2/22 0:15:52","2/02/2022",00:15:52,"Pau","Cual","texto",0
"127","2/2/22 0:15:54","2/02/2022",00:15:54,"Pau","?","texto",0
"128","2/2/22 3:58:10","2/02/2022",03:58:10,"Taty","Eu alm miren esto","texto",0
"129","2/2/22 3:58:21","2/02/2022",03:58:21,"Taty","adjunto= 00002631-PHOTO-2022-02-02-03-58-21.jpg","photo",0
"130","2/2/22 3:58:27","2/02/2022",03:58:27,"Taty","Esos son mis horarios del año q viene","texto",0
"131","2/2/22 3:58:35","2/02/2022",03:58:35,"Taty","ONCE HORAS CURSO EL JUEVES","texto",0
"132","2/2/22 3:58:39","2/02/2022",03:58:39,"Taty","10 el lunes","texto",0
"133","2/2/22 3:58:41","2/02/2022",03:58:41,"Taty","Que carajo","texto",0
"134","2/2/22 4:47:37","2/02/2022",04:47:37,"Michu","que carajo amiga alta explotacion","texto",0
"135","2/2/22 8:22:36","2/02/2022",08:22:36,"Taty","Mal","texto",0
"136","2/2/22 8:22:41","2/02/2022",08:22:41,"Taty","No puedo creerlo","texto",0
"137","2/2/22 8:23:33","2/02/2022",08:23:33,"Delfi","ai no que PAJA","texto",0
"138","2/2/22 8:23:40","2/02/2022",08:23:40,"Delfi","adjunto= 00002640-PHOTO-2022-02-02-08-23-40.jpg","photo",0
"139","2/2/22 8:23:58","2/02/2022",08:23:58,"Delfi","adjunto= 00002641-AUDIO-2022-02-02-08-23-58.opus","audio",0
"140","2/2/22 8:25:38","2/02/2022",08:25:38,"Sol","Nooo Lpm te hicieron mierda","texto",0
"141","2/2/22 8:26:50","2/02/2022",08:26:50,"Delfi","SOLCHU","texto",0
"142","2/2/22 8:26:52","2/02/2022",08:26:52,"Delfi","EXIGOS","texto",0
"143","2/2/22 8:29:35","2/02/2022",08:29:35,"Sol","Graciaaassssnckfkfkfkfk","texto",0
"144","2/2/22 8:29:53","2/02/2022",08:29:53,"Sol","Están llamando y quiero q me toque una profesora en particular","texto",0
"145","2/2/22 8:30:00","2/02/2022",08:30:00,"Sol","🧘‍♀️🧘‍♀️🧘‍♀️","texto",3
"146","2/2/22 8:30:01","2/02/2022",08:30:01,"Delfi","q hora rendis?","texto",0
"147","2/2/22 8:30:22","2/02/2022",08:30:22,"Sol","Cuando me llamen q no sé cuándo va a ser","texto",0
"148","2/2/22 8:30:29","2/02/2022",08:30:29,"Delfi","ooo","texto",0
"149","2/2/22 8:30:35","2/02/2022",08:30:35,"Sol","imagen omitida","texto",0
"150","2/2/22 8:30:51","2/02/2022",08:30:51,"Delfi","aiaiaiaiasi","texto",0
"151","2/2/22 8:30:52","2/02/2022",08:30:52,"Delfi","nervios","texto",0
"152","2/2/22 8:58:14","2/02/2022",08:58:14,"Pali","SUERTE AMIIIIIIIII","texto",0
"153","2/2/22 8:58:20","2/02/2022",08:58:20,"Pali","😱😱😱😱😱","texto",5
"154","2/2/22 9:02:22","2/02/2022",09:02:22,"Sol","jnvsvlfsvsffvosvj graciaass estoy por pasar","texto",0
"155","2/2/22 9:13:22","2/02/2022",09:13:22,"Sol","ME SAQUE UN NUEVE PERRASSSSSSSSS","texto",0
"156","2/2/22 9:14:09","2/02/2022",09:14:09,"Delfi","OMGGGGGGGGH","texto",0
"157","2/2/22 9:14:12","2/02/2022",09:14:12,"Delfi","FELICITACIONESSSS","texto",0
"158","2/2/22 9:14:14","2/02/2022",09:14:14,"Delfi","MFLEXIOWOZWXDXWX","texto",0
"159","2/2/22 9:14:15","2/02/2022",09:14:15,"Delfi","DXD","texto",0
"160","2/2/22 10:30:49","2/02/2022",10:30:49,"Pali","OMGGGG","texto",0
"161","2/2/22 10:35:04","2/02/2022",10:35:04,"Sofi","AAAAAAAAAA","texto",0
"162","2/2/22 10:35:08","2/02/2022",10:35:08,"Sofi","ESO AMIGAAAAAAA","texto",0
"163","2/2/22 11:45:35","2/02/2022",11:45:35,"Sofi","alguna quiere fumsr 1 pucho en un rato?","texto",0
"164","2/2/22 11:47:37","2/02/2022",11:47:37,"Taty","ALM QUE GENIAA","texto",0
"165","2/2/22 11:50:19","2/02/2022",11:50:19,"Delfi","1 solo ?","texto",0
"166","2/2/22 11:50:20","2/02/2022",11:50:20,"Delfi","dea","texto",0
"167","2/2/22 11:50:28","2/02/2022",11:50:28,"Delfi","yo tengo un turno de médico a las 4.30","texto",0
"168","2/2/22 11:50:32","2/02/2022",11:50:32,"Delfi","pero veni a casa","texto",0
"169","2/2/22 11:50:36","2/02/2022",11:50:36,"Delfi","ahora tipo 1","texto",0
"170","2/2/22 11:50:43","2/02/2022",11:50:43,"Delfi","si quere","texto",0
"171","2/2/22 11:55:22","2/02/2022",11:55:22,"Sofi","jajajajajaja","texto",0
"172","2/2/22 11:55:23","2/02/2022",11:55:23,"Sofi","es que","texto",0
"173","2/2/22 11:55:53","2/02/2022",11:55:53,"Sofi","adjunto= 00002675-AUDIO-2022-02-02-11-55-53.opus","audio",0
"174","2/2/22 11:58:36","2/02/2022",11:58:36,"Delfi","AH AJJAJ","texto",0
"175","2/2/22 11:58:40","2/02/2022",11:58:40,"Delfi","no entonces","texto",0
"176","2/2/22 12:46:51","2/02/2022",12:46:51,"Pali","adjunto= 00002678-PHOTO-2022-02-02-12-46-51.jpg","photo",0
"177","2/2/22 12:50:42","2/02/2022",12:50:42,"Michu","FUDASHUFIAHIFDASFDAS","texto",0
"178","2/2/22 12:54:02","2/02/2022",12:54:02,"Taty","JAJAJAJAJ","texto",0
"179","2/2/22 13:26:03","2/02/2022",13:26:03,"Pau","A la poronga","texto",0
"180","2/2/22 15:58:21","2/02/2022",15:58:21,"Valen","Hola chicassssss","texto",0
"181","2/2/22 15:58:35","2/02/2022",15:58:35,"Valen","Se me borraron todos los chats desde el Domingo a hoy","texto",0
"182","2/2/22 15:58:41","2/02/2022",15:58:41,"Valen","Poraue me cambie em celu","texto",0
"183","2/2/22 15:58:52","2/02/2022",15:58:52,"Valen","Y hoy no tuve en todo el dia","texto",0
"184","2/2/22 15:58:56","2/02/2022",15:58:56,"Valen","A queen estamso felicity so","texto",0
"185","2/2/22 15:59:06","2/02/2022",15:59:06,"Valen","A quien estamos felicitando *","texto",0
"186","2/2/22 15:59:29","2/02/2022",15:59:29,"Valen","Btw si hablr con alguna x priv me reenvian los msj xfi ❤️","texto",1
"187","2/2/22 15:59:35","2/02/2022",15:59:35,"Valen","No los pude leer","texto",0
"188","2/2/22 18:14:03","2/02/2022",18:14:03,"Michu","a solchusss que se saco un 9 en su final oral uwu","texto",0
"189","2/2/22 18:50:53","2/02/2022",18:50:53,"Sofi","adjunto= 00002691-PHOTO-2022-02-02-18-50-53.jpg","photo",0
"190","2/2/22 18:50:54","2/02/2022",18:50:54,"Sofi","adjunto= 00002692-PHOTO-2022-02-02-18-50-54.jpg","photo",0
"191","2/2/22 18:51:12","2/02/2022",18:51:12,"Pau","OS A CUAL????","texto",0
"192","2/2/22 18:52:37","2/02/2022",18:52:37,"Michu","MOOPPOPPO","texto",0
"193","2/2/22 18:52:41","2/02/2022",18:52:41,"Michu","Que hace mopcito","texto",0
"194","2/2/22 18:54:02","2/02/2022",18:54:02,"Sofi","adjunto= 00002696-AUDIO-2022-02-02-18-54-02.opus","audio",0
"195","2/2/22 18:54:36","2/02/2022",18:54:36,"Michu","aaaaa","texto",0
"196","2/2/22 18:54:37","2/02/2022",18:54:37,"Michu","la baby","texto",0
"197","2/2/22 18:54:50","2/02/2022",18:54:50,"Pau","adjunto= 00002699-STICKER-2022-02-02-18-54-49.webp","sticker",0
"198","2/2/22 18:55:01","2/02/2022",18:55:01,"Pau","MOPCITO","texto",0
"199","2/2/22 18:55:05","2/02/2022",18:55:05,"Pau","🥺🥺🥺🥺🥺","texto",5
"200","2/2/22 18:57:57","2/02/2022",18:57:57,"Sofi","adjunto= 00002702-GIF-2022-02-02-18-57-57.mp4","gif",0
"201","2/2/22 18:58:17","2/02/2022",18:58:17,"Pau","Galactic mop","texto",0
"202","2/2/22 18:59:05","2/02/2022",18:59:05,"Michu","MOP!!! 😳😳","texto",2
"203","2/2/22 19:03:58","2/02/2022",19:03:58,"Delfi","JAJAJAJA","texto",0
"204","2/2/22 19:04:17","2/02/2022",19:04:17,"Delfi","https://open.spotify.com/track/49BbpJuVsX2wUl0Qo9aVvC?si=DIYLW6LvRf-GFtPYpjMmQw","texto",0
"205","2/2/22 19:10:42","2/02/2022",19:10:42,"Michu","JAJAJAJJAAJ","texto",0
"206","2/2/22 20:45:46","2/02/2022",20:45:46,"Valen","AIIIII congratttttssss solchus aaaa QUE","texto",0
"207","2/2/22 20:45:49","2/02/2022",20:45:49,"Valen","capaaaa","texto",0
"208","2/2/22 20:46:01","2/02/2022",20:46:01,"Valen","Al 13!!!!!!!","texto",0
"209","2/2/22 20:46:07","2/02/2022",20:46:07,"Valen","Que le pasoooo?","texto",0
"210","2/2/22 20:46:08","2/02/2022",20:46:08,"Taty","🤩💸","texto",2
"211","2/2/22 20:46:22","2/02/2022",20:46:22,"Valen","adjunto= 00002713-STICKER-2022-02-02-20-46-22.webp","sticker",0
"212","2/2/22 20:46:30","2/02/2022",20:46:30,"Valen","adjunto= 00002714-PHOTO-2022-02-02-20-46-30.jpg","photo",0
"213","2/2/22 20:46:31","2/02/2022",20:46:31,"Valen","Ah","texto",0
"214","2/2/22 20:46:34","2/02/2022",20:46:34,"Valen","Parece un Samsung","texto",0
"215","2/2/22 20:46:35","2/02/2022",20:46:35,"Valen","Ok","texto",0
"216","2/2/22 20:46:52","2/02/2022",20:46:52,"Valen","adjunto= 00002718-PHOTO-2022-02-02-20-46-52.jpg","photo",0
"217","2/2/22 20:47:03","2/02/2022",20:47:03,"Valen","adjunto= 00002719-VIDEO-2022-02-02-20-47-03.mp4","video",0
"218","2/2/22 20:47:07","2/02/2022",20:47:07,"Valen","Casi me agarra hipotermia","texto",0
"219","2/2/22 20:53:50","2/02/2022",20:53:50,"Taty","Nooooo que frío","texto",0
"220","2/2/22 20:59:46","2/02/2022",20:59:46,"Sol","Noooo a la mierda","texto",0
"221","2/2/22 21:00:51","2/02/2022",21:00:51,"Valen","Chicas sigo sin sentir las piernas","texto",0
"222","2/2/22 21:00:54","2/02/2022",21:00:54,"Valen","adjunto= 00002724-STICKER-2022-02-02-21-00-54.webp","sticker",0
"223","2/2/22 21:44:54","2/02/2022",21:44:54,"Pau","EPICO","texto",0
"224","2/2/22 21:45:09","2/02/2022",21:45:09,"Pau","adjunto= 00002726-STICKER-2022-02-02-21-45-08.webp","sticker",0
"225","2/2/22 21:45:14","2/02/2022",21:45:14,"Pau","Ai no","texto",0
"226","2/2/22 21:45:17","2/02/2022",21:45:17,"Pau","Como haces","texto",0
"227","2/2/22 21:45:26","2/02/2022",21:45:26,"Pau","Tenes calzas termicas abajo?","texto",0
"228","2/2/22 21:53:36","2/02/2022",21:53:36,"Sofi","tos!!!","texto",0
"229","3/2/22 3:00:28","3/02/2022",03:00:28,"Pali","re top!!!!!!!!! amo!","texto",0
"230","3/2/22 3:00:37","3/02/2022",03:00:37,"Pali","N O","texto",0
"231","3/2/22 3:00:39","3/02/2022",03:00:39,"Pali","QIE CARAJO","texto",0
"232","3/2/22 5:31:10","3/02/2022",05:31:10,"Valen","adjunto= 00002734-STICKER-2022-02-03-05-31-10.webp","sticker",0
"233","3/2/22 5:31:14","3/02/2022",05:31:14,"Valen","adjunto= 00002735-PHOTO-2022-02-03-05-31-14.jpg","photo",0
"234","3/2/22 5:40:37","3/02/2022",05:40:37,"Valen","Justo ahí noooo","texto",0
"235","3/2/22 5:40:38","3/02/2022",05:40:38,"Valen","Porque dije","texto",0
"236","3/2/22 5:40:43","3/02/2022",05:40:43,"Valen","Se me van a mojar y al pedo","texto",0
"237","3/2/22 5:40:46","3/02/2022",05:40:46,"Valen","Pero durante el día uso","texto",0
"238","3/2/22 5:40:48","3/02/2022",05:40:48,"Valen","Abajo del Jean","texto",0
"239","3/2/22 12:51:05","3/02/2022",12:51:05,"Sofi","adjunto= 00002741-PHOTO-2022-02-03-12-51-05.jpg","photo",0
"240","3/2/22 12:51:09","3/02/2022",12:51:09,"Sofi","adjunto= 00002742-PHOTO-2022-02-03-12-51-09.jpg","photo",0
"241","3/2/22 12:51:18","3/02/2022",12:51:18,"Sofi","ME LLEVO LOS PANTS?","texto",0
"242","3/2/22 12:51:36","3/02/2022",12:51:36,"Michu","gooood","texto",0
"243","3/2/22 12:51:36","3/02/2022",12:51:36,"Michu","si","texto",0
"244","3/2/22 12:51:45","3/02/2022",12:51:45,"Michu","Corta","texto",0
"245","3/2/22 12:52:06","3/02/2022",12:52:06,"Taty","SI","texto",0
"246","3/2/22 12:57:13","3/02/2022",12:57:13,"Sol","Siiiiii","texto",0
"247","3/2/22 12:57:19","3/02/2022",12:57:19,"Sol","Reee😍","texto",1
"248","3/2/22 13:04:40","3/02/2022",13:04:40,"Sofi","adjunto= 00002750-PHOTO-2022-02-03-13-04-40.jpg","photo",0
"249","3/2/22 13:09:01","3/02/2022",13:09:01,"Pali","QUE LINDASSSAAA","texto",0
"250","3/2/22 13:36:09","3/02/2022",13:36:09,"Delfi","SIII","texto",0
"251","3/2/22 13:41:09","3/02/2022",13:41:09,"Sofi","llevamos los pants","texto",0
"252","3/2/22 13:41:14","3/02/2022",13:41:14,"Sofi","adjunto= 00002754-PHOTO-2022-02-03-13-41-14.jpg","photo",0
"253","3/2/22 13:45:55","3/02/2022",13:45:55,"Delfi","ossss","texto",0
"254","3/2/22 14:46:24","3/02/2022",14:46:24,"Pali","el sábado hay una FIESTA de reggaetón","texto",0
"255","3/2/22 14:46:33","3/02/2022",14:46:33,"Pali","adjunto= 00002757-PHOTO-2022-02-03-14-46-33.jpg","photo",0
"256","3/2/22 14:46:39","3/02/2022",14:46:39,"Pali","ACÁ LA INFO","texto",0
"257","3/2/22 14:46:47","3/02/2022",14:46:47,"Pali","que opinamos","texto",0
"258","3/2/22 14:47:34","3/02/2022",14:47:34,"Pau","Yo voy a seguir aisladap","texto",0
"259","3/2/22 14:47:42","3/02/2022",14:47:42,"Pau","Si me da positivo","texto",0
"260","3/2/22 14:47:48","3/02/2022",14:47:48,"Pali","NOOO","texto",0
"261","3/2/22 14:47:59","3/02/2022",14:47:59,"Pali","cuando te llega el","texto",0
"262","3/2/22 14:48:06","3/02/2022",14:48:06,"Pali","adjunto= 00002764-STICKER-2022-02-03-14-48-06.webp","sticker",0
"263","3/2/22 14:48:17","3/02/2022",14:48:17,"Pali","te sentis bien?","texto",0
"264","3/2/22 14:48:30","3/02/2022",14:48:30,"Pau","Hoy me hisopo","texto",0
